Sample,Molecular Weight,Fluorescence
Cotto-Roll,10,0
Cotto-Roll,10.1,2.4619880399999978
Cotto-Roll,10.199999999999999,4.0430122400000004
Cotto-Roll,10.300000000000001,4.7033313499999991
Cotto-Roll,10.4,4.625283249999999
Cotto-Roll,10.6,4.1976035999999972
Cotto-Roll,10.699999999999999,3.8943706499999986
Cotto-Roll,10.800000000000001,3.9777650999999987
Cotto-Roll,10.9,4.3572235999999975
Cotto-Roll,11.1,5.03858915
Cotto-Roll,11.199999999999999,5.9142636099999963
Cotto-Roll,11.300000000000001,6.8510719800000004
Cotto-Roll,11.4,7.6945689099999974
Cotto-Roll,11.6,8.4452564700000003
Cotto-Roll,11.699999999999999,9.1985046500000003
Cotto-Roll,11.800000000000001,10.039203540000001
Cotto-Roll,12,10.895567899999998
Cotto-Roll,12.1,11.66643594
Cotto-Roll,12.199999999999999,12.29921732
Cotto-Roll,12.300000000000001,12.853688679999999
Cotto-Roll,12.5,13.479712349999998
Cotto-Roll,12.6,14.248223579999999
Cotto-Roll,12.800000000000001,15.197507809999999
Cotto-Roll,12.9,16.437390950999998
Cotto-Roll,13,18.007818749999998
Cotto-Roll,13.199999999999999,19.838640185999999
Cotto-Roll,13.300000000000001,21.545558421999999
Cotto-Roll,13.4,22.854660307
Cotto-Roll,13.6,23.656812578
Cotto-Roll,13.699999999999999,23.699459388000001
Cotto-Roll,13.9,23.178124789000002
Cotto-Roll,14,22.574728824000001
Cotto-Roll,14.1,22.415340753000002
Cotto-Roll,14.300000000000001,22.968617877
Cotto-Roll,14.4,24.099139824000002
Cotto-Roll,14.6,25.789727119000002
Cotto-Roll,14.699999999999999,28.211292975999999
Cotto-Roll,14.9,31.782100104000001
Cotto-Roll,15,36.82476638
Cotto-Roll,15.199999999999999,43.438667340000002
Cotto-Roll,15.300000000000001,52.023791639999999
Cotto-Roll,15.5,63.520057970000003
Cotto-Roll,15.6,78.431581719999997
Cotto-Roll,15.800000000000001,95.087816070000002
Cotto-Roll,15.9,108.91189826
Cotto-Roll,16.100000000000001,114.31634017
Cotto-Roll,16.199999999999999,108.33256734
Cotto-Roll,16.399999999999999,92.850048000000001
Cotto-Roll,16.600000000000001,73.520830439999997
Cotto-Roll,16.699999999999999,55.995875899999994
Cotto-Roll,16.899999999999999,43.372103729999999
Cotto-Roll,17,35.920450150000001
Cotto-Roll,17.199999999999999,32.018942858999999
Cotto-Roll,17.399999999999999,30.24883341
Cotto-Roll,17.5,29.611886101
Cotto-Roll,17.699999999999999,29.569026249
Cotto-Roll,17.800000000000001,29.642158609000003
Cotto-Roll,18,29.383124711000001
Cotto-Roll,18.199999999999999,28.534737568000001
Cotto-Roll,18.300000000000001,27.247412721999996
Cotto-Roll,18.5,25.912885777
Cotto-Roll,18.699999999999999,24.813667209000002
Cotto-Roll,18.800000000000001,24.047388654999999
Cotto-Roll,19,23.624988826999999
Cotto-Roll,19.199999999999999,23.551112953000001
Cotto-Roll,19.300000000000001,23.760152321
Cotto-Roll,19.5,23.987703646
Cotto-Roll,19.699999999999999,23.977587336999999
Cotto-Roll,19.899999999999999,23.721860126999999
Cotto-Roll,20,23.358299025999997
Cotto-Roll,20.199999999999999,23.051165453000003
Cotto-Roll,20.399999999999999,22.649250033000001
Cotto-Roll,20.600000000000001,22.067314366999998
Cotto-Roll,20.699999999999999,21.445847704999998
Cotto-Roll,20.899999999999999,21.054756282
Cotto-Roll,21.100000000000001,20.952733209000002
Cotto-Roll,21.300000000000001,20.951574300000001
Cotto-Roll,21.5,20.966934629000001
Cotto-Roll,21.600000000000001,21.100560809000001
Cotto-Roll,21.800000000000001,21.282953702
Cotto-Roll,22,21.603750994000002
Cotto-Roll,22.199999999999999,22.349535056999997
Cotto-Roll,22.399999999999999,24.046612150999998
Cotto-Roll,22.600000000000001,26.841128319999999
Cotto-Roll,22.800000000000001,30.089167718000002
Cotto-Roll,22.899999999999999,32.493263314000004
Cotto-Roll,23.100000000000001,32.971429044000004
Cotto-Roll,23.300000000000001,31.577789594999999
Cotto-Roll,23.5,29.402194882
Cotto-Roll,23.699999999999999,27.60003004
Cotto-Roll,23.899999999999999,26.603228041999998
Cotto-Roll,24.100000000000001,26.218451933000001
Cotto-Roll,24.300000000000001,26.205204123000001
Cotto-Roll,24.5,26.502563174999999
Cotto-Roll,24.699999999999999,27.111847798000003
Cotto-Roll,24.899999999999999,27.926960981999997
Cotto-Roll,25.100000000000001,28.709121339999999
Cotto-Roll,25.300000000000001,29.291996071
Cotto-Roll,25.5,29.791269135
Cotto-Roll,25.699999999999999,30.503965445999999
Cotto-Roll,25.899999999999999,31.751892764000001
Cotto-Roll,26.100000000000001,33.539004906000002
Cotto-Roll,26.300000000000001,36.278130429999997
Cotto-Roll,26.5,39.733365030000002
Cotto-Roll,26.699999999999999,43.495991700000005
Cotto-Roll,26.899999999999999,47.124820100000001
Cotto-Roll,27.100000000000001,50.17454042
Cotto-Roll,27.300000000000001,52.450582599999997
Cotto-Roll,27.5,53.876991369999999
Cotto-Roll,27.699999999999999,54.494464819999997
Cotto-Roll,27.899999999999999,54.586073759999998
Cotto-Roll,28.100000000000001,54.291356280000002
Cotto-Roll,28.300000000000001,53.545636010000003
Cotto-Roll,28.5,52.339907080000003
Cotto-Roll,28.800000000000001,50.710679300000002
Cotto-Roll,29,48.769839159999997
Cotto-Roll,29.199999999999999,46.62980142
Cotto-Roll,29.399999999999999,44.340084820000001
Cotto-Roll,29.600000000000001,41.902734029999998
Cotto-Roll,29.800000000000001,39.306735289999999
Cotto-Roll,30.100000000000001,36.728754430000002
Cotto-Roll,30.300000000000001,34.393569989
Cotto-Roll,30.5,32.461322320999997
Cotto-Roll,30.699999999999999,30.925155884999999
Cotto-Roll,30.899999999999999,29.639752121999997
Cotto-Roll,31.199999999999999,28.627203926
Cotto-Roll,31.399999999999999,27.902895576999999
Cotto-Roll,31.600000000000001,27.414849123000003
Cotto-Roll,31.800000000000001,27.141165229999999
Cotto-Roll,32,27.043060405999999
Cotto-Roll,32.299999999999997,27.143375182
Cotto-Roll,32.5,27.365280183000003
Cotto-Roll,32.700000000000003,27.782412069999999
Cotto-Roll,33,28.359047253000004
Cotto-Roll,33.200000000000003,29.097159228000002
Cotto-Roll,33.399999999999999,29.871209379
Cotto-Roll,33.600000000000001,30.480788164
Cotto-Roll,33.899999999999999,30.843869151999996
Cotto-Roll,34.100000000000001,31.053539988000001
Cotto-Roll,34.299999999999997,31.245760184000002
Cotto-Roll,34.600000000000001,31.443347047
Cotto-Roll,34.799999999999997,31.654586684000002
Cotto-Roll,35,31.914734419999998
Cotto-Roll,35.299999999999997,32.133339489999997
Cotto-Roll,35.5,32.099811852999999
Cotto-Roll,35.799999999999997,31.831004660999998
Cotto-Roll,36,31.544775004000002
Cotto-Roll,36.200000000000003,31.45503544
Cotto-Roll,36.5,31.895228979999999
Cotto-Roll,36.700000000000003,33.117885419000004
Cotto-Roll,37,35.129265459000003
Cotto-Roll,37.200000000000003,36.871574440000003
Cotto-Roll,37.399999999999999,37.291699360000003
Cotto-Roll,37.700000000000003,36.125557450000002
Cotto-Roll,37.899999999999999,33.998874944999997
Cotto-Roll,38.200000000000003,31.821708096999998
Cotto-Roll,38.399999999999999,30.266443816999999
Cotto-Roll,38.700000000000003,29.51206011
Cotto-Roll,38.899999999999999,29.257963981
Cotto-Roll,39.200000000000003,29.175209783000003
Cotto-Roll,39.399999999999999,29.189246454999999
Cotto-Roll,39.700000000000003,29.557347078999999
Cotto-Roll,39.899999999999999,30.575160404000002
Cotto-Roll,40.200000000000003,32.301688886999997
Cotto-Roll,40.399999999999999,34.632485375999998
Cotto-Roll,40.700000000000003,37.522662930000003
Cotto-Roll,41,41.103698379999997
Cotto-Roll,41.200000000000003,45.565525399999999
Cotto-Roll,41.5,50.917497580000003
Cotto-Roll,41.700000000000003,56.980576919999997
Cotto-Roll,42,63.592451699999998
Cotto-Roll,42.200000000000003,70.579946519999993
Cotto-Roll,42.5,77.708396870000001
Cotto-Roll,42.799999999999997,84.559456600000004
Cotto-Roll,43,90.812427400000004
Cotto-Roll,43.299999999999997,96.451448299999996
Cotto-Roll,43.600000000000001,101.67756083
Cotto-Roll,43.799999999999997,106.68109636
Cotto-Roll,44.100000000000001,111.17720893000001
Cotto-Roll,44.399999999999999,114.66429399
Cotto-Roll,44.600000000000001,116.78840083999999
Cotto-Roll,44.899999999999999,117.43378857
Cotto-Roll,45.200000000000003,116.56898040999999
Cotto-Roll,45.399999999999999,114.33093146
Cotto-Roll,45.700000000000003,111.19707072999999
Cotto-Roll,46,108.03901476
Cotto-Roll,46.299999999999997,105.38285495
Cotto-Roll,46.5,102.64828645
Cotto-Roll,46.799999999999997,98.570679510000005
Cotto-Roll,47.100000000000001,92.446553390000005
Cotto-Roll,47.299999999999997,84.921608079999999
Cotto-Roll,47.600000000000001,77.621796149999994
Cotto-Roll,47.899999999999999,71.806640240000021
Cotto-Roll,48.200000000000003,67.235524229999996
Cotto-Roll,48.5,62.772255749999999
Cotto-Roll,48.700000000000003,57.885611899999994
Cotto-Roll,49,52.663196339999999
Cotto-Roll,49.299999999999997,47.794153360000003
Cotto-Roll,49.600000000000001,43.787282789999999
Cotto-Roll,49.899999999999999,40.769211370000001
Cotto-Roll,50.200000000000003,38.583395590000002
Cotto-Roll,50.399999999999999,36.841297789999999
Cotto-Roll,50.700000000000003,35.382903938000005
Cotto-Roll,51,34.432671114999998
Cotto-Roll,51.299999999999997,33.795959511999996
Cotto-Roll,51.600000000000001,33.169543280999996
Cotto-Roll,51.899999999999999,32.396240104
Cotto-Roll,52.200000000000003,31.610752643000001
Cotto-Roll,52.5,31.021135071
Cotto-Roll,52.799999999999997,30.617303468999999
Cotto-Roll,53,30.273081161999997
Cotto-Roll,53.299999999999997,29.919656824
Cotto-Roll,53.600000000000001,29.497113061999997
Cotto-Roll,53.899999999999999,29.052681964000001
Cotto-Roll,54.200000000000003,28.655528410999999
Cotto-Roll,54.5,28.383452625
Cotto-Roll,54.799999999999997,28.298138379000001
Cotto-Roll,55.100000000000001,28.419261301999999
Cotto-Roll,55.399999999999999,28.826715436000001
Cotto-Roll,55.700000000000003,29.561405965999999
Cotto-Roll,56,30.488148078000002
Cotto-Roll,56.299999999999997,31.465858745999999
Cotto-Roll,56.600000000000001,32.600291859999999
Cotto-Roll,56.899999999999999,34.195809335
Cotto-Roll,57.200000000000003,36.568908919999998
Cotto-Roll,57.5,40.108120540000002
Cotto-Roll,57.799999999999997,45.615052539999994
Cotto-Roll,58.200000000000003,54.561078039999998
Cotto-Roll,58.5,68.897317219999991
Cotto-Roll,58.799999999999997,90.934104180000006
Cotto-Roll,59.100000000000001,123.78294492000001
Cotto-Roll,59.399999999999999,172.36558360999999
Cotto-Roll,59.700000000000003,242.25737140999999
Cotto-Roll,60,334.74152991
Cotto-Roll,60.299999999999997,439.41537811000001
Cotto-Roll,60.600000000000001,534.31729951
Cotto-Roll,61,596.48857440999996
Cotto-Roll,61.299999999999997,614.73883050999973
Cotto-Roll,61.600000000000001,588.69421181000018
Cotto-Roll,61.899999999999999,525.26703971000018
Cotto-Roll,62.200000000000003,434.29225921
Cotto-Roll,62.5,331.53899941000009
Cotto-Roll,62.899999999999999,235.16522710999999
Cotto-Roll,63.200000000000003,158.87344801
Cotto-Roll,63.5,107.48705667
Cotto-Roll,63.799999999999997,78.102615700000001
Cotto-Roll,64.200000000000003,63.631656700000001
Cotto-Roll,64.5,57.950193409999997
Cotto-Roll,64.799999999999997,56.942961359999998
Cotto-Roll,65.099999999999994,58.393951459999997
Cotto-Roll,65.5,61.445413770000002
Cotto-Roll,65.799999999999997,66.004563919999995
Cotto-Roll,66.099999999999994,72.485097209999978
Cotto-Roll,66.400000000000006,81.545606020000022
Cotto-Roll,66.799999999999997,93.836072119999997
Cotto-Roll,67.099999999999994,110.06590045999999
Cotto-Roll,67.400000000000006,130.73278711
Cotto-Roll,67.799999999999997,155.55379970999999
Cotto-Roll,68.099999999999994,182.80295491000001
Cotto-Roll,68.400000000000006,209.04649781000001
Cotto-Roll,68.799999999999997,229.63633591000001
Cotto-Roll,69.099999999999994,240.16393221000001
Cotto-Roll,69.400000000000006,238.31096830999999
Cotto-Roll,69.799999999999997,224.44400691000001
Cotto-Roll,70.099999999999994,201.00616671
Cotto-Roll,70.5,171.98626490999999
Cotto-Roll,70.799999999999997,142.07138701
Cotto-Roll,71.099999999999994,115.37264286
Cotto-Roll,71.5,94.325015649999997
Cotto-Roll,71.799999999999997,79.10194955
Cotto-Roll,72.200000000000003,68.371867769999994
Cotto-Roll,72.5,60.652805729999997
Cotto-Roll,72.799999999999997,54.932065119999997
Cotto-Roll,73.200000000000003,50.912648349999998
Cotto-Roll,73.5,48.503537100000003
Cotto-Roll,73.900000000000006,47.296147380000001
Cotto-Roll,74.200000000000003,46.986997389999999
Cotto-Roll,74.599999999999994,47.20568798
Cotto-Roll,74.900000000000006,47.792440679999999
Cotto-Roll,75.299999999999997,48.51550726
Cotto-Roll,75.599999999999994,49.265709079999993
Cotto-Roll,76,50.022779649999997
Cotto-Roll,76.299999999999997,50.738027940000002
Cotto-Roll,76.700000000000003,50.984167079999999
Cotto-Roll,77.099999999999994,50.777730169999998
Cotto-Roll,77.400000000000006,50.25494277
Cotto-Roll,77.799999999999997,49.691196009999999
Cotto-Roll,78.099999999999994,49.157372029999998
Cotto-Roll,78.5,48.757357519999999
Cotto-Roll,78.799999999999997,48.475270889999997
Cotto-Roll,79.200000000000003,48.250073219999997
Cotto-Roll,79.599999999999994,48.000393529999997
Cotto-Roll,79.900000000000006,47.60523285
Cotto-Roll,80.299999999999997,46.92466563
Cotto-Roll,80.700000000000003,45.82012907
Cotto-Roll,81,44.322303359999999
Cotto-Roll,81.400000000000006,42.562987819999996
Cotto-Roll,81.700000000000003,40.851172679999998
Cotto-Roll,82.099999999999994,39.29410249
Cotto-Roll,82.5,37.897354559999997
Cotto-Roll,82.799999999999997,36.637723950000002
Cotto-Roll,83.200000000000003,35.410493840999997
Cotto-Roll,83.599999999999994,34.273744940999997
Cotto-Roll,84,33.252664001999996
Cotto-Roll,84.299999999999997,32.291974809000003
Cotto-Roll,84.700000000000003,31.354797559000001
Cotto-Roll,85.099999999999994,30.439696348000002
Cotto-Roll,85.5,29.628179401000001
Cotto-Roll,85.799999999999997,28.901519989000001
Cotto-Roll,86.200000000000003,28.325096014
Cotto-Roll,86.599999999999994,27.926118626999997
Cotto-Roll,87,27.611360293000001
Cotto-Roll,87.299999999999997,27.255848358000001
Cotto-Roll,87.700000000000003,26.826847301000001
Cotto-Roll,88.099999999999994,26.415587389000002
Cotto-Roll,88.5,26.121307411999997
Cotto-Roll,88.900000000000006,25.922618844999999
Cotto-Roll,89.200000000000003,25.721989328000003
Cotto-Roll,89.599999999999994,25.486607851999999
Cotto-Roll,90,25.215458192
Cotto-Roll,90.400000000000006,25.071579998000001
Cotto-Roll,90.799999999999997,25.089238310999999
Cotto-Roll,91.200000000000003,25.134042743000002
Cotto-Roll,91.599999999999994,25.082097128000001
Cotto-Roll,91.900000000000006,25.183997609999999
Cotto-Roll,92.299999999999997,25.377336728000003
Cotto-Roll,92.700000000000003,25.378307068000002
Cotto-Roll,93.099999999999994,25.155645414000002
Cotto-Roll,93.5,24.890741303000002
Cotto-Roll,93.900000000000006,24.753687719000002
Cotto-Roll,94.299999999999997,24.707445866
Cotto-Roll,94.700000000000003,24.692742928000001
Cotto-Roll,95.099999999999994,24.744115209
Cotto-Roll,95.5,24.770461013000002
Cotto-Roll,95.900000000000006,24.685024596999998
Cotto-Roll,96.299999999999997,24.577383100999999
Cotto-Roll,96.700000000000003,24.525888871999999
Cotto-Roll,97.099999999999994,24.464429738000003
